city,country,is_capital,population,lat,lon
Перт,Австралия,0,2039200,-31.952222222,115.858888888
Сурат,Индия,0,5935000,21.17,72.83
Силигури,Индия,0,513264,27.2,88.683333333
Баркисимето,Венесуэла,0,1995770,10.067777777,-69.346694444
Аруша,Танзания,0,416442,-3.366666666,36.683333333
Баку,Азербайджан,1,2181800,40.366655555,49.835183333
Дили,Восточный Тимор,1,222323,-8.558611111,125.573611111
Джорджтаун,Гайана,1,235017,6.783333333,-58.166666666
Бишкек,Киргизия,1,965900,42.866666666,74.566666666
Вьентьян,Лаос,1,760000,17.966666666,102.6
Вьентьян,Лаос,1,795000,17.966666666,102.6
Мале,Мальдивы,1,103693,4.166666666,73.5
Душанбе,Таджикистан,1,780000,38.573055555,68.786388888
Сеул,Республика Корея,1,9857426,37.583333333,127.0
Тхимпху,Бутан,1,104000,27.483333333,89.633333333
Саскатун,Канада,0,246376,52.133333333,-106.683333333
Вальядолид,Испания,0,299715,41.651980555,-4.728561111
Бильбао,Испания,0,345110,43.262222222,-2.953333333
Севилья,Испания,0,689434,37.383333333,-5.983333333
Виго,Испания,0,292986,42.233333333,-8.716666666
Ла-Корунья,Испания,0,244099,43.366666666,-8.383333333
Гранада,Испания,0,232770,37.178055555,-3.600833333
Валенсия,Испания,0,787808,39.466666666,-0.375
Пальма,Испания,0,434516,39.566666666,2.649722222
Малага,Испания,0,569002,36.716666666,-4.416666666
Бургос,Испания,0,175623,42.340833333,-3.699722222
Памплона,Испания,0,197138,42.816666666,-1.65
Сан-Себастьян,Испания,0,186370,43.32,-1.98
Альмерия,Испания,0,195389,36.833333333,-2.45
Эльче,Испания,0,228675,38.266944444,-0.698333333
Аликанте,Испания,0,329988,38.345277777,-0.483055555
Лас-Пальмас-де-Гран-Канария,Испания,0,377650,28.127222222,-15.431388888
Мурсия,Испания,0,443243,37.986111111,-1.130277777
Сантандер,Испания,0,171951,43.466666666,-3.8
Уэльва,Испания,0,145115,37.25,-6.95
Сабадель,Испания,0,209931,41.548333333,2.1075
Хихон,Испания,0,272365,43.533333333,-5.7
Тыхы,Польша,0,129322,50.166666666,19.0
Реджо-ди-Калабрия,Италия,0,182703,38.114438888,15.65
Терни,Италия,0,111401,42.566666666,12.65
Винтертур,Швейцария,0,109775,47.4992,8.72671
Харлем,Нидерланды,0,159134,52.380277777,4.640555555
Канкун,Мексика,0,628306,21.160555555,-86.8475
Белфаст,Великобритания,0,336830,54.596666666,-5.938333333
Гонконг,Китайская Народная Республика,0,7336585,22.278333333,114.158611111
Шанхай,Китайская Народная Республика,0,23390000,31.166666666,121.466666666
Ухань,Китайская Народная Республика,0,7895000,30.58333,114.26667
Ухань,Китайская Народная Республика,0,7895000,30.5725,114.279167
Рио-де-Жанейро,Бразилия,0,6476631,-22.908333333,-43.196388888
Севастополь,Россия,0,428753,44.6,33.533333333
Южно-Сахалинск,Россия,0,194882,46.95,142.733333333
Петропавловск-Камчатский,Россия,0,180454,53.016666666,158.65
Луцк,Украина,0,217082,50.747777777,25.324444444
Острава,Чехия,0,290450,49.835555555,18.2925
Сунгайпенух,Индонезия,0,101325,-2.063611111,101.396111111
Семаранг,Индонезия,0,1621384,-6.966666666,110.416666666
Маланг,Индонезия,0,780000,-7.98,112.62
Сурабая,Индонезия,0,4975000,-7.233333333,112.733333333
Дарвин,Австралия,0,146245,-12.466666666,130.833333333
Сиемреап,Камбоджа,0,147866,13.362222222,103.859722222
Ироду,Индия,0,151184,11.35,77.733333333
Салем,Индия,0,693236,11.65,78.166666666
Майсур,Индия,0,887446,12.303055555,76.643333333
Вадодара,Индия,0,1670806,22.3,73.2
Гандинагар,Индия,0,195891,23.22,72.68
Касабланка,Марокко,0,4370000,33.599166666,-7.62
Лагос,Нигерия,0,21324000,6.45,3.4
Токио,Япония,1,13784212,35.68,139.77
Вашингтон,Соединённые Штаты Америки,1,658893,38.895,-77.036666666
Варшава,Польша,1,1753977,52.216666666,21.033333333
Берн,Швейцария,1,141833,46.950833333,7.438611111
Афины,Греция,1,664046,37.979444444,23.716111111
Амстердам,Нидерланды,1,825080,52.383333333,4.9
Мехико,Мексика,1,8918653,19.419444444,-99.145555555
Лондон,Великобритания,1,8787892,51.507222222,-0.1275
Пекин,Китайская Народная Республика,1,21710000,39.905,116.391388888
Москва,Россия,1,12500123,55.755833333,37.617777777
Берлин,Германия,1,3574830,52.516666666,13.383333333
Скопье,Республика Македония,1,506926,41.983333333,21.433333333
Тбилиси,Грузия,1,1118035,41.716666666,44.783333333
Астана,Казахстан,1,880191,51.183333333,71.4
Ташкент,Узбекистан,1,2424100,41.3,69.266666666
Сингапур,Сингапур,1,5888926,1.3,103.8
Буэнос-Айрес,Аргентина,1,2890151,-34.599722222,-58.381944444
Багдад,Ирак,1,6960000,33.35,44.416666666
Иерусалим,Израиль,1,865721,31.783333333,35.216666666
Абу-Даби,Объединённые Арабские Эмираты,1,1000000,24.478055555,54.368611111
Дакка,Бангладеш,1,8906039,23.7,90.366666666
Торонто,Канада,0,2731571,43.7,-79.4
Нью-Йорк,Соединённые Штаты Америки,0,8537673,40.67,-73.94
